RELATÓRIO DE OCORRÊNCIAS - CIOSP - JANEIRO/2026 - SESP/MT

Núm. B.O.;Data / Hora da Ocorrência;Bairro / Região;Tipo de Ocorrência;Qtd Vítimas;Idade da Vítima;Valor Apreendido (R$)
BO-2026-00067;03/01/2026 06:38; Centro;Lesão Corporal;0;;0,00
BO-2026-00103;14/01/2026 09:11;Tijucal;Roubo ;;;-
BO-2026-00061;28-01-2026 12h38;TIJUCAL;Roubo;0;;41.544,00
BO-2026-00100;01/01/2026 22:42;JARDIM LEBLON;Furto Qualificado;0;;R$ 21.155,00
BO-2026-00001;04/01/2026 11:36;Coxipo;Lesão;1;52;
BO-2026-00018;26/01/2026 21:27;CPA ;Lesão Corporal;1;56;-
BO-2026-00038;01/01/2026;CPA;FURTO;0;;0,00
BO-2026-00058;29/01/2026 16:30;Porto;Furto;0;;0,00
BO-2026-00055;12-01-2026 23h46;PEDRA 90;furto;0;;10260,00
BO-2026-00004;05/01/2026 21:05;TIJUCAL;Furto ;1;;R$ 1.921,00
BO-2026-00059;19/01/2026 21:52;Tijucal;Furto Qualificado;0;;-
BO-2026-00045;22/01/2026 13:34;Gde Terceiro; Roubo;;;R$ 44746
BO-2026-00084;2026-01-26 01:16;TIJUCAL;Furto ;;;-
BO-2026-00113;2026-01-21 22:45;CPA;LESAO CORPORAL;1;43;0,00
BO-2026-00087;23/01/2026 09:39;Gde Terceiro;Lesao corporal;1;25;
BO-2026-00081;10/01/2026 19:06;centro;Homicidio Doloso;1;61;
BO-2026-00071;20/01/2026 21:35;COXIPO; Roubo;;;0
BO-2026-00085;10/01/2026 21:44;coxipó;tráfico de drogas;0;999;R$ 40434
BO-2026-00125;23/01/2026 19:36;CENTRO;roubo;;;0,00
BO-2026-00035;10/01/2026 17:32;Porto;Lesão Corporal;2;47;
BO-2026-00080;17/01/2026 22:19; Centro;Latrocinio;3;30;
BO-2026-00078;2026-01-09 23:08;Gde Terceiro;Furto Qualificado;0;;
BO-2026-00029;25/01/2026 04:34;Porto ;Furto Qualificado;;;0,00
BO-2026-00117;2026-01-28 12:34;Tijucal;Furto;;;R$ 36.661,00
BO-2026-00020;27/01/2026 02:50;Ctr;roubo;0;;0,00
BO-2026-00010;2026-01-30 20:30;Tijucal;FURTO;;;0,00
BO-2026-00064;05/01/2026 03:03;pedra 90;ROUBO;0;;0
BO-2026-00128;02/01/2026 21:31;Centro;Lesão Corporal;3;34;0
BO-2026-00091;06/01/2026 15:05;CPA;Furto;0;;R$ 28.837,00
BO-2026-00116;22/01/2026 11:31;Pedra90;tráfico de drogas;0;;0,00
;;;;;;
BO-2026-00007;21/01/2026 19:51;tijucal;Furto ;0;;-
BO-2026-00089;2026-01-18 10:22;TIJUCAL;Furto ;0;;43870
BO-2026-00024;02/01/2026 02:59;coxipó;homicídio;1;;0
;;;;;;
BO-2026-00083;01/01/2026 14:07;CPA;roubo;;;R$ 25.278,00
BO-2026-00027;19-01-2026 21h10;Jardim Leblon;Furto;0;0;13.239,00
BO-2026-00004;05/01/2026 21:05;TIJUCAL;Furto ;0;;R$ 1.921,00
BO-2026-00094;2026-01-05 14:08;Coxipó;Lesão Corporal;2;64;-
BO-2026-00033;2026-01-07 06:44;gde terceiro;Furto;0;;
BO-2026-00040;2026-01-21 03:43;gde terceiro;Furto ;;;8225
BO-2026-00118;30/01/2026 19:07;Ctr;FURTO;0;;0,00
BO-2026-00099;07/01/2026 19:16;GRANDE TERCEIRO;Tráfico de Drogas;0;;
BO-2026-00051;09/01/2026 21:13;Jardim Leblon;Furto Qualificado;0;;18232,00
BO-2026-00104;04/01/2026 19:07;Ctr;Furto;0;;0
BO-2026-00079;22/01/2026 20:44;Coxipo;Roubo ;;;0,00
BO-2026-00037;12/01/2026 04:51; Centro;furto;0;;40011,00
BO-2026-00014;13/01/2026 20:04;Pedra 90;FURTO;0;;0,00
BO-2026-00112;30/01/2026 18:59;Tijucal;Roubo ;;;-
BO-2026-00095;14/01/2026 21:03;gde terceiro;Latrocínio;;;0
BO-2026-00069;02/01/2026 15:30;Grande Terceiro;Furto Qualificado;0;;-
BO-2026-00047;2026-01-11 00:50;Coxipo;Trafico;0;;0,00
BO-2026-00015;30/01/2026 20:07;gde terceiro;Homicidio Doloso;1;57;
BO-2026-00110;2026-01-03 10:55;COXIPO;furto;0;;
BO-2026-00086;06/01/2026 20:39;C.P.A.;Roub.;0;;-
BO-2026-00123;24-01-2026 20h54;porto;Lesão Corporal;1;67;0
BO-2026-00082;20/01/2026 22:33;GRANDE TERCEIRO;LESAO CORPORAL;;0;0,00
BO-2026-00016;2026-01-05 17:35;jardim leblon;Roubo;0;;30.369,00
BO-2026-00008;26/01/2026 21:38;TIJUCAL;Furto ;;999;0,00
BO-2026-00062;04/01/2026 20:57;CPA ;Roubo;0;;
BO-2026-00025;30/01/2026 13:55;GRANDE TERCEIRO;Furto Qualificado;;;R$ 28226
BO-2026-00024;02/01/2026 02:59;coxipó;homicídio;;;0
BO-2026-00009;30/01/2026 07:58;Grande Terceiro;FURTO;;;-
BO-2026-00107;31/01/2026 17:49;Grande Terceiro;TRAFICO DE DROGAS;;;41.953,00
BO-2026-00074;31-01-2026 21h57;Gde Terceiro;Lesão;2;54;0
BO-2026-00026;2026-01-02 19:49;Centro;FURTO;;;R$ 18743
BO-2026-00021;28/01/2026 05:36;PEDRA 90;Furto ;;;7488,00
BO-2026-00011;04/01/2026 07:34;CPA;LESAO CORPORAL;1;-3;
BO-2026-00106;07/01/2026 22:38;CPA ;Furto;0;;R$ 17.829,00
BO-2026-00072;26/01/2026 03:48;PORTO;Lesao corporal;;;0
BO-2026-00119;04/01/2026 09:07;Pedra 90;Roubo ;0;;-
BO-2026-00090;14/01/2026 16:47;Jardim Leblon;Furto;0;;16.291,00
BO-2026-00101;20/01/2026 15:20;Coxipo;FURTO;0;;0,00
BO-2026-00124;09/01/2026 21:47;JARDIM LEBLON;tráfico de drogas;0;;0
BO-2026-00122;2026-01-24 21:11;Jardim Leblon;tráfico de drogas;0;;
BO-2026-00003;2026-01-12 23:05;porto;Lesao corporal;3;46;-
BO-2026-00060;07/01/2026 20:55;Pedra90;Roubo ;;;-
BO-2026-00057;15/01/2026 06:58;CPA;FURTO;0;;0,00
BO-2026-00075;10/01/2026 02:30;TIJUCAL;Furto;0;;
BO-2026-00129;15/01/2026 20:28;CPA;roubo;0;;0,00
BO-2026-00019;10/01/2026 07:33;gde terceiro; Roubo;0;;0,00
BO-2026-00098;08/01/2026 19:16;CPA ;FURTO;;;0,00
BO-2026-00012;04/01/2026 18:42;tijucal;tráfico de drogas;0;;44.109,00
BO-2026-00088;28/01/2026 14:19;Grande Terceiro;Furto ;0;;R$ 24886
BO-2026-00065;15/01/2026 15:04;Coxipo;Furto ;0;999;-
BO-2026-00121;27/01/2026;Coxipo;FURTO;;;
BO-2026-00056;02/01/2026 20:34;tijucal;Lesao corporal;1;66;
BO-2026-00053;22/01/2026 11:06;cpa;Roubo;;;17.174,00
BO-2026-00017;02/01/2026 18:43;Centro;LESAO CORPORAL;1;62;
BO-2026-00127;09/01/2026 20:35;CPA;Furto ;0;;0
BO-2026-00011;04/01/2026 07:34;CPA;LESAO CORPORAL;1;-3;
BO-2026-00006;19/01/2026 08:30;centro; Roubo;0;;34589
BO-2026-00115;03/01/2026 21:20;Centro;FURTO;;;-
BO-2026-00031;02/01/2026 18:55;PEDRA 90;Homicidio Doloso;1;17;0,00
BO-2026-00073;2026-01-09 06:07;Pedra90;Lesão Corporal;3;67;0,00
BO-2026-00102;13/01/2026 19:01;GRANDE TERCEIRO;Tráfico de Drogas;0;;0,00
BO-2026-00126;01/01/2026 19:45;tijucal;Lesão Corporal;1;31;
BO-2026-00044;08/01/2026 11:25;Coxipó;Roub.;0;;0,00
BO-2026-00114;04/01/2026 09:44;Porto;Furto;;;-
BO-2026-00043;05/01/2026 14:17;CPA ;FURTO;0;;0,00
BO-2026-20200;31/02/2026 09:15;Centro;Roubo;1;34;8000
BO-2026-00063;21/01/2026 21:33;TIJUCAL;FURTO;;;R$ 19.116,00
BO-2026-00108;2026-01-09 23:18;CPA;Furto;0;;-
BO-2026-00022;09/01/2026 18:48;TIJUCAL;Roubo ;0;;0
BO-2026-00111;18/01/2026 09:48;Tijucal;ROUBO;;;38834
BO-2026-00050;11/01/2026 12:31;Tijucal;Furto;;;0,00
BO-2026-00097;2026-01-23 08:16;coxipó;Lesão;1;-3;0,00
BO-2026-00042;2026-01-13 11:22;gde terceiro;Roub.;;;14.729,00
BO-2026-00077;01/01/2026 14:35;Gde Terceiro;Furto ;;;R$ 44.528,00
;;;;;;
BO-2026-00001;04/01/2026 11:36;Coxipo;Lesão;1;52;
BO-2026-00052;22-01-2026 16h38;GRANDE TERCEIRO;Lesão;2;19;0,00
BO-2026-00002;01/01/2026 18:43;coxipó;roubo;;;0,00
BO-2026-00076;18/01/2026 18:25;Pedra90;Furto;0;;0
BO-2026-00013;18-01-2026 08h50;tijucal;FURTO;0;;-
;;;TOTAL GERAL;130;;R$ 870.491,00
