Num_BO;Data_Hora;Bairro_Regiao;Tipo_Ocorrencia;Qtd_Vitimas;Idade_Vitima;Valor_Apreendido_R$
BO-2026-00111;2026-01-18 09:48:00;TIJUCAL;ROUBO;0;;38834.0
BO-2026-00050;2026-01-11 12:31:00;TIJUCAL;FURTO;0;;0.0
BO-2026-00097;2026-01-23 08:16;COXIPO;LESAO CORPORAL;1;;0.0
BO-2026-00042;2026-01-13 11:22;GRANDE TERCEIRO;ROUBO;0;;14729.0
BO-2026-00077;2026-01-01 14:35:00;GRANDE TERCEIRO;FURTO;0;;44528.0
BO-2026-00001;2026-01-04 11:36:00;COXIPO;LESAO CORPORAL;1;52;0.0
BO-2026-00052;22-01-2026 16h38;GRANDE TERCEIRO;LESAO CORPORAL;2;19;0.0
BO-2026-00002;2026-01-01 18:43:00;COXIPO;ROUBO;0;;0.0
BO-2026-00076;2026-01-18 18:25:00;PEDRA 90;FURTO;0;;0.0
BO-2026-00013;18-01-2026 08h50;TIJUCAL;FURTO;0;;0.0
