ID_BO,Data,Hora,Bairro,Regional,Tipo_Ocorrencia,Qtd_Vitimas,Idade_Vitima,Valor_Apreendido_RS
BO-2026-00119,04/01/2026,09:00,Pedra 90,Regional Sul,Roubo,0,,0
BO-2026-00120,12/01/2026,06:00,CPA,Regional Norte,Lesão Corporal,1,58,0
BO-2026-00121,27/01/2026,14:00,Coxipó,Regional Leste,Furto,0,,0
BO-2026-00122,24/01/2026,21:00,Jardim Leblon,Regional Norte,Tráfico de Drogas,0,,0
BO-2026-00123,24/01/2026,20:00,Porto,Regional Metropolitana,Lesão Corporal,1,67,0
BO-2026-00124,09/01/2026,21:00,Jardim Leblon,Regional Norte,Tráfico de Drogas,0,,0
BO-2026-00125,23/01/2026,19:00,Centro,Regional Metropolitana,Roubo,0,,0
BO-2026-00126,01/01/2026,19:00,Tijucal,Regional Sul,Lesão Corporal,1,31,0
BO-2026-00127,09/01/2026,20:00,CPA,Regional Norte,Furto,0,,0
BO-2026-00128,02/01/2026,21:00,Centro,Regional Metropolitana,Lesão Corporal,3,34,0
BO-2026-00129,15/01/2026,20:00,CPA,Regional Norte,Roubo,0,,0
BO-2026-00130,17/01/2026,23:00,Coxipó,Regional Leste,Furto,0,,27858
