Ano_Mes,Bairro,Regional,Tipo_Ocorrencia,Ocorrencias,Vitimas,Valor_Apreendido_RS,Tempo_Resposta_Medio_Min
2025-06,Coxipó,Regional Leste,Furto,41,2,27853,14.8
2025-06,Coxipó,Regional Leste,Tráfico de Drogas,18,1,25603,14.0
2025-06,Coxipó,Regional Leste,Lesão Corporal,17,15,0,11.4
2025-06,CPA,Regional Norte,Homicídio,2,2,0,8.0
2025-06,CPA,Regional Norte,Latrocínio,1,1,1389,10.0
2025-06,CPA,Regional Norte,Roubo,13,1,16973,23.2
2025-06,CPA,Regional Norte,Furto,13,1,27223,26.5
2025-06,CPA,Regional Norte,Tráfico de Drogas,5,0,6465,18.0
2025-06,CPA,Regional Norte,Lesão Corporal,4,4,0,11.5
2025-06,Pedra 90,Regional Sul,Homicídio,6,5,0,8.1
2025-06,Pedra 90,Regional Sul,Latrocínio,4,4,1601,11.9
2025-06,Pedra 90,Regional Sul,Roubo,43,2,18959,20.7
2025-06,Pedra 90,Regional Sul,Furto,71,4,131954,10.8
2025-06,Pedra 90,Regional Sul,Tráfico de Drogas,17,1,26159,13.9
2025-06,Pedra 90,Regional Sul,Lesão Corporal,22,20,0,10.9
2025-06,Tijucal,Regional Sul,Homicídio,4,4,0,10.3
2025-06,Tijucal,Regional Sul,Latrocínio,2,2,3281,11.4
2025-06,Tijucal,Regional Sul,Roubo,33,2,26387,21.9
2025-06,Tijucal,Regional Sul,Furto,37,2,74566,20.9
2025-06,Tijucal,Regional Sul,Tráfico de Drogas,12,1,9501,22.0
2025-06,Tijucal,Regional Sul,Lesão Corporal,12,11,0,16.8
2025-06,Jardim Leblon,Regional Norte,Homicídio,7,6,0,10.9
2025-06,Jardim Leblon,Regional Norte,Latrocínio,3,3,5156,11.3
2025-06,Jardim Leblon,Regional Norte,Roubo,43,2,36887,16.9
2025-06,Jardim Leblon,Regional Norte,Furto,44,2,27665,16.8
2025-06,Jardim Leblon,Regional Norte,Tráfico de Drogas,14,1,27335,10.1
2025-06,Jardim Leblon,Regional Norte,Lesão Corporal,14,13,0,19.4
2025-06,Porto,Regional Metropolitana,Homicídio,9,8,0,7.9
2025-06,Porto,Regional Metropolitana,Latrocínio,3,3,3085,6.4
2025-06,Porto,Regional Metropolitana,Roubo,55,3,49190,25.0
2025-06,Porto,Regional Metropolitana,Furto,58,3,81921,12.2
2025-06,Porto,Regional Metropolitana,Tráfico de Drogas,24,1,27436,12.4
2025-06,Porto,Regional Metropolitana,Lesão Corporal,23,21,0,27.8
2025-06,Grande Terceiro,Regional Leste,Homicídio,7,6,0,8.2
2025-06,Grande Terceiro,Regional Leste,Latrocínio,3,3,4758,6.1
2025-06,Grande Terceiro,Regional Leste,Roubo,35,2,54337,14.0
2025-06,Grande Terceiro,Regional Leste,Furto,56,3,110252,12.5
2025-06,Grande Terceiro,Regional Leste,Tráfico de Drogas,16,1,13575,12.5
2025-06,Grande Terceiro,Regional Leste,Lesão Corporal,13,12,0,24.4
2025-07,Centro,Regional Metropolitana,Homicídio,6,5,0,6.5
2025-07,Centro,Regional Metropolitana,Latrocínio,2,2,2001,10.5
2025-07,Centro,Regional Metropolitana,Roubo,32,2,42376,20.5
2025-07,Centro,Regional Metropolitana,Furto,32,2,25114,27.7
2025-07,Centro,Regional Metropolitana,Tráfico de Drogas,11,1,7845,26.3
2025-07,Centro,Regional Metropolitana,Lesão Corporal,12,11,0,23.1
2025-07,Coxipó,Regional Leste,Homicídio,7,6,0,8.8
2025-07,Coxipó,Regional Leste,Latrocínio,2,2,3873,6.2
2025-07,Coxipó,Regional Leste,Roubo,34,2,20091,10.4
2025-07,Coxipó,Regional Leste,Furto,43,2,39294,16.2
2025-07,Coxipó,Regional Leste,Tráfico de Drogas,15,1,16220,16.6
2025-07,Coxipó,Regional Leste,Lesão Corporal,17,15,0,18.1
2025-07,CPA,Regional Norte,Homicídio,2,2,0,9.0
2025-07,CPA,Regional Norte,Latrocínio,1,1,957,6.3
2025-07,CPA,Regional Norte,Roubo,11,1,13714,14.1
2025-07,CPA,Regional Norte,Furto,16,1,19102,12.2
2025-07,CPA,Regional Norte,Tráfico de Drogas,6,0,11147,14.9
2025-07,CPA,Regional Norte,Lesão Corporal,5,4,0,14.6
2025-07,Pedra 90,Regional Sul,Homicídio,11,10,0,10.4
2025-07,Pedra 90,Regional Sul,Latrocínio,3,3,1296,11.5
2025-07,Pedra 90,Regional Sul,Roubo,63,3,84383,12.3
2025-07,Pedra 90,Regional Sul,Furto,78,4,169948,25.5
2025-07,Pedra 90,Regional Sul,Tráfico de Drogas,25,1,50323,23.5
2025-07,Pedra 90,Regional Sul,Lesão Corporal,19,17,0,24.8
2025-07,Tijucal,Regional Sul,Homicídio,4,4,0,7.8
2025-07,Tijucal,Regional Sul,Latrocínio,2,2,1263,11.4
2025-07,Tijucal,Regional Sul,Roubo,31,2,13908,14.8
2025-07,Tijucal,Regional Sul,Furto,43,2,27779,20.4
2025-07,Tijucal,Regional Sul,Tráfico de Drogas,15,1,12120,19.8
2025-07,Tijucal,Regional Sul,Lesão Corporal,15,14,0,25.7
2025-07,Jardim Leblon,Regional Norte,Homicídio,7,6,0,7.4
2025-07,Jardim Leblon,Regional Norte,Latrocínio,3,3,5910,10.2
2025-07,Jardim Leblon,Regional Norte,Roubo,40,2,80805,24.2
2025-07,Jardim Leblon,Regional Norte,Furto,61,3,26006,12.2
2025-07,Jardim Leblon,Regional Norte,Tráfico de Drogas,19,1,16137,24.6
2025-07,Jardim Leblon,Regional Norte,Lesão Corporal,20,18,0,20.4
2025-07,Porto,Regional Metropolitana,Homicídio,8,7,0,8.1
2025-07,Porto,Regional Metropolitana,Latrocínio,3,3,6383,11.6
2025-07,Porto,Regional Metropolitana,Roubo,60,3,110446,25.7
2025-07,Porto,Regional Metropolitana,Furto,70,4,115724,15.8
2025-07,Porto,Regional Metropolitana,Tráfico de Drogas,21,1,10248,25.5
2025-07,Porto,Regional Metropolitana,Lesão Corporal,22,20,0,21.8
2025-07,Grande Terceiro,Regional Leste,Homicídio,6,5,0,7.9
2025-07,Grande Terceiro,Regional Leste,Latrocínio,3,3,3345,8.9
2025-07,Grande Terceiro,Regional Leste,Roubo,47,2,41933,19.1
2025-07,Grande Terceiro,Regional Leste,Furto,44,2,23054,18.0
2025-07,Grande Terceiro,Regional Leste,Tráfico de Drogas,17,1,18067,15.1
2025-07,Grande Terceiro,Regional Leste,Lesão Corporal,20,18,0,24.3
2025-08,Centro,Regional Metropolitana,Homicídio,4,4,0,10.4
2025-08,Centro,Regional Metropolitana,Latrocínio,2,2,4147,11.0
2025-08,Centro,Regional Metropolitana,Roubo,27,1,52665,11.2
2025-08,Centro,Regional Metropolitana,Furto,37,2,22439,18.7
2025-08,Centro,Regional Metropolitana,Tráfico de Drogas,12,1,20037,14.4
2025-08,Centro,Regional Metropolitana,Lesão Corporal,8,7,0,18.7
2025-08,Coxipó,Regional Leste,Homicídio,5,4,0,9.5
2025-08,Coxipó,Regional Leste,Latrocínio,2,2,3427,7.4
2025-08,Coxipó,Regional Leste,Roubo,30,2,51487,26.9
2025-08,Coxipó,Regional Leste,Furto,44,2,27132,26.5
2025-08,Coxipó,Regional Leste,Tráfico de Drogas,12,1,6015,17.8
2025-08,Coxipó,Regional Leste,Lesão Corporal,11,10,0,26.7
2025-08,CPA,Regional Norte,Homicídio,2,2,0,7.2
2025-08,CPA,Regional Norte,Latrocínio,1,1,995,10.7
2025-08,CPA,Regional Norte,Roubo,13,1,22631,18.3
2025-08,CPA,Regional Norte,Furto,16,1,19673,27.9
2025-08,CPA,Regional Norte,Tráfico de Drogas,4,0,6356,15.5
2025-08,CPA,Regional Norte,Lesão Corporal,5,4,0,13.7
2025-08,Pedra 90,Regional Sul,Homicídio,7,6,0,10.2
2025-08,Pedra 90,Regional Sul,Latrocínio,3,3,3134,9.2
2025-08,Pedra 90,Regional Sul,Roubo,55,3,118518,23.9
2025-08,Pedra 90,Regional Sul,Furto,65,3,136084,24.4
2025-08,Pedra 90,Regional Sul,Tráfico de Drogas,19,1,21363,24.1
2025-08,Pedra 90,Regional Sul,Lesão Corporal,21,19,0,25.1
2025-08,Tijucal,Regional Sul,Homicídio,5,4,0,10.8
2025-08,Tijucal,Regional Sul,Latrocínio,2,2,4382,10.8
2025-08,Tijucal,Regional Sul,Roubo,29,1,36786,15.4
2025-08,Tijucal,Regional Sul,Furto,33,2,66951,24.1
2025-08,Tijucal,Regional Sul,Tráfico de Drogas,13,1,10414,10.4
2025-08,Tijucal,Regional Sul,Lesão Corporal,9,8,0,20.1
2025-08,Jardim Leblon,Regional Norte,Homicídio,7,6,0,8.9
2025-08,Jardim Leblon,Regional Norte,Latrocínio,3,3,1473,6.8
2025-08,Jardim Leblon,Regional Norte,Roubo,33,2,65586,22.5
2025-08,Jardim Leblon,Regional Norte,Furto,56,3,99151,18.0
2025-08,Jardim Leblon,Regional Norte,Tráfico de Drogas,15,1,15717,25.7
2025-08,Jardim Leblon,Regional Norte,Lesão Corporal,18,16,0,27.9
2025-08,Porto,Regional Metropolitana,Homicídio,8,7,0,11.7
2025-08,Porto,Regional Metropolitana,Latrocínio,3,3,3127,8.2
2025-08,Porto,Regional Metropolitana,Roubo,47,2,53838,15.0
2025-08,Porto,Regional Metropolitana,Furto,63,3,94831,13.6
2025-08,Porto,Regional Metropolitana,Tráfico de Drogas,20,1,20463,26.3
2025-08,Porto,Regional Metropolitana,Lesão Corporal,18,16,0,24.2
2025-08,Grande Terceiro,Regional Leste,Homicídio,6,5,0,11.3
2025-08,Grande Terceiro,Regional Leste,Latrocínio,2,2,3596,6.9
2025-08,Grande Terceiro,Regional Leste,Roubo,35,2,47263,13.6
2025-08,Grande Terceiro,Regional Leste,Furto,39,2,17628,22.4
2025-08,Grande Terceiro,Regional Leste,Tráfico de Drogas,16,1,16753,13.3
2025-08,Grande Terceiro,Regional Leste,Lesão Corporal,13,12,0,25.6
2025-09,Centro,Regional Metropolitana,Homicídio,5,4,0,10.7
2025-09,Centro,Regional Metropolitana,Latrocínio,2,2,3333,8.3
2025-09,Centro,Regional Metropolitana,Roubo,21,1,15880,26.3
2025-09,Centro,Regional Metropolitana,Furto,38,2,25170,18.0
2025-09,Centro,Regional Metropolitana,Tráfico de Drogas,9,0,10879,24.3
2025-09,Centro,Regional Metropolitana,Lesão Corporal,10,9,0,24.8
2025-09,Coxipó,Regional Leste,Homicídio,6,5,0,10.5
2025-09,Coxipó,Regional Leste,Latrocínio,2,2,3686,7.0
2025-09,Coxipó,Regional Leste,Roubo,33,2,66533,25.0
2025-09,Coxipó,Regional Leste,Furto,45,2,83498,22.2
2025-09,Coxipó,Regional Leste,Tráfico de Drogas,16,1,11080,10.0
2025-09,Coxipó,Regional Leste,Lesão Corporal,12,11,0,14.7
2025-09,CPA,Regional Norte,Homicídio,2,2,0,6.3
2025-09,CPA,Regional Norte,Latrocínio,1,1,2083,10.7
2025-09,CPA,Regional Norte,Roubo,11,1,6365,20.4
2025-09,CPA,Regional Norte,Furto,13,1,16704,14.5
2025-09,CPA,Regional Norte,Tráfico de Drogas,4,0,3895,12.8
2025-09,CPA,Regional Norte,Lesão Corporal,4,4,0,17.2
2025-09,Pedra 90,Regional Sul,Homicídio,9,8,0,10.3
2025-09,Pedra 90,Regional Sul,Latrocínio,3,3,4592,10.9
2025-09,Pedra 90,Regional Sul,Roubo,43,2,78780,24.1
2025-09,Pedra 90,Regional Sul,Furto,62,3,68015,11.9
2025-09,Pedra 90,Regional Sul,Tráfico de Drogas,23,1,31392,10.2
2025-09,Pedra 90,Regional Sul,Lesão Corporal,19,17,0,13.5
2025-09,Tijucal,Regional Sul,Homicídio,5,4,0,8.2
2025-09,Tijucal,Regional Sul,Latrocínio,2,2,4285,9.8
2025-09,Tijucal,Regional Sul,Roubo,28,1,22778,23.9
2025-09,Tijucal,Regional Sul,Furto,31,2,63276,16.7
2025-09,Tijucal,Regional Sul,Tráfico de Drogas,10,0,12859,22.7
2025-09,Tijucal,Regional Sul,Lesão Corporal,11,10,0,25.3
2025-09,Jardim Leblon,Regional Norte,Homicídio,8,7,0,7.3
2025-09,Jardim Leblon,Regional Norte,Latrocínio,3,3,2008,8.1
2025-09,Jardim Leblon,Regional Norte,Roubo,36,2,56347,19.9
2025-09,Jardim Leblon,Regional Norte,Furto,53,3,78494,16.2
2025-09,Jardim Leblon,Regional Norte,Tráfico de Drogas,18,1,16663,13.1
2025-09,Jardim Leblon,Regional Norte,Lesão Corporal,18,16,0,11.3
2025-09,Porto,Regional Metropolitana,Homicídio,9,8,0,9.5
2025-09,Porto,Regional Metropolitana,Latrocínio,4,4,4766,10.2
2025-09,Porto,Regional Metropolitana,Roubo,40,2,27230,16.4
2025-09,Porto,Regional Metropolitana,Furto,63,3,128170,14.0
2025-09,Porto,Regional Metropolitana,Tráfico de Drogas,20,1,38636,25.0
2025-09,Porto,Regional Metropolitana,Lesão Corporal,22,20,0,10.6
2025-09,Grande Terceiro,Regional Leste,Homicídio,5,4,0,10.2
